Date,ADANIENT,ADANIPORTS,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJFINANCE,BAJAJFINSV,BEL,BPCL,BHARTIARTL,BRITANNIA,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFCBANK,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,NTPC,NESTLEIND,ONGC,POWERGRID,RELIANCE,SHRIRAMFIN,SBIN,SUNPHARMA,TCS,TATACONSUM,TATAMOTORS,TATASTEEL,TECHM,TITAN,TRENT,ULTRACEMCO,WIPRO
2017-01-10,43.70107650756836,293.8999938964844,1196.9000244140625,923.5999755859375,447.3500061035156,2740.75,899.75,301.0150146484375,45.80908966064453,220.10000610351562,288.4924621582031,1440.4000244140625,574.9000244140625,300.6000061035156,608.3699951171875,2300.5,654.43798828125,418.92498779296875,607.1749877929688,3059.0,164.39999389648438,830.5499877929688,236.5454559326172,1160.699951171875,485.2749938964844,178.4499969482422,712.6500244140625,925.0,606.75,5674.85009765625,135.25,590.5750122070312,198.4499969482422,104.93440246582031,249.1213836669922,915.3560180664062,248.3000030517578,638.5499877929688,1157.675048828125,124.44999694824219,516.25,41.14869689941406,473.5,361.45001220703125,198.85000610351562,3279.449951171875,89.3437728881836
2017-01-11,44.05526351928711,295.6499938964844,1199.300048828125,934.6500244140625,453.6000061035156,2718.550048828125,896.1500244140625,301.8500061035156,46.292423248291016,220.3000030517578,290.8807678222656,1492.0,576.9500122070312,316.8500061035156,608.489990234375,2316.135009765625,661.883056640625,416.625,617.0,3084.25,174.9499969482422,841.5,240.63636779785156,1233.800048828125,484.54998779296875,187.10000610351562,728.4000244140625,941.566650390625,616.0,5762.35009765625,137.0833282470703,591.47998046875,197.64999389648438,106.76252746582031,248.2527618408203,941.0302124023438,252.14999389648438,648.2000122070312,1162.199951171875,127.55000305175781,519.25,42.7064208984375,474.04998779296875,360.75,199.0500030517578,3353.10009765625,89.28752136230469
2017-01-12,43.673831939697266,292.75,1206.0,933.5499877929688,455.20001220703125,2737.14990234375,891.2000122070312,301.8599853515625,46.99696731567383,219.76666259765625,290.02459716796875,1473.9000244140625,586.25,313.20001220703125,601.7000122070312,2282.64990234375,660.0700073242188,423.8500061035156,617.5,3083.199951171875,177.0,825.9000244140625,243.9545440673828,1219.9000244140625,500.0249938964844,188.5,727.9500122070312,966.2333374023438,606.7000122070312,5777.35009765625,144.75,585.5,199.5500030517578,111.37503051757812,247.62416076660156,918.4252319335938,251.25,644.75,1172.175048828125,125.1500015258789,518.25,42.63972854614258,481.20001220703125,363.70001220703125,196.9499969482422,3352.5,90.60002136230469
2017-01-13,42.77474594116211,294.04998779296875,1187.4000244140625,933.25,472.79998779296875,2708.550048828125,900.0499877929688,301.9599914550781,46.32272720336914,219.21665954589844,288.58258056640625,1470.0,583.4000244140625,315.0,595.9500122070312,2279.35498046875,652.7406005859375,425.125,616.25,3046.550048828125,172.25,827.9500122070312,243.68182373046875,1215.6500244140625,487.8999938964844,188.89999389648438,727.75,959.1666870117188,608.9249877929688,5699.5,142.5,589.9299926757812,201.3000030517578,110.89690399169922,249.24710083007812,930.7994995117188,250.89999389648438,653.0,1124.6500244140625,128.35000610351562,514.8499755859375,42.52539825439453,488.5,358.3500061035156,214.0,3319.699951171875,90.87189483642578
2017-01-16,43.483116149902344,300.6499938964844,1176.5999755859375,935.25,477.25,2721.64990234375,917.7000122070312,301.260009765625,46.35151672363281,222.6999969482422,287.14056396484375,1482.875,588.7999877929688,313.79998779296875,597.0599975585938,2234.330078125,659.4528198242188,415.2749938964844,623.8250122070312,3091.75,172.60000610351562,827.5,244.81817626953125,1217.5,477.82501220703125,189.35000610351562,731.2000122070312,961.8666381835938,605.5,5676.89990234375,142.2083282470703,588.344970703125,198.35000610351562,112.16252899169922,246.0126495361328,936.158447265625,255.75,643.5,1129.2750244140625,127.6500015258789,526.4000244140625,43.6782112121582,487.1499938964844,362.8500061035156,213.0500030517578,3340.199951171875,90.8906478881836
2017-01-17,43.01995086669922,294.8500061035156,1167.0999755859375,960.1500244140625,487.20001220703125,2728.89990234375,914.3499755859375,301.9700012207031,45.900001525878906,221.64999389648438,287.0504455566406,1506.7750244140625,587.25,307.0,595.3099975585938,2235.014892578125,652.2777099609375,418.875,619.25,3132.64990234375,171.0500030517578,840.6500244140625,244.0,1214.0999755859375,477.70001220703125,186.6999969482422,726.0,963.8333129882812,602.2249755859375,5669.39990234375,146.4166717529297,589.5800170898438,194.8000030517578,111.23440551757812,238.01223754882812,930.7020874023438,256.0,649.7000122070312,1139.375,127.5999984741211,523.7000122070312,43.27806091308594,486.75,359.95001220703125,211.60000610351562,3380.25,90.45001983642578
2017-01-18,43.15617752075195,291.8999938964844,1174.5999755859375,963.3499755859375,488.5,2699.699951171875,930.3499755859375,304.6650085449219,45.81666564941406,218.48333740234375,282.9046630859375,1545.7750244140625,580.7999877929688,308.70001220703125,589.6099853515625,2244.9951171875,667.43798828125,422.0249938964844,621.2999877929688,3086.050048828125,177.0,864.9500122070312,244.0454559326172,1227.800048828125,475.3999938964844,191.10000610351562,731.0999755859375,968.2999877929688,607.2999877929688,5684.4501953125,143.9583282470703,591.8250122070312,198.0,111.6281509399414,236.0235595703125,923.1508178710938,258.3500061035156,649.9500122070312,1147.550048828125,128.64999389648438,522.4500122070312,44.621421813964844,483.6499938964844,367.0,212.0,3501.64990234375,90.55314636230469
2017-01-19,43.91904067993164,295.3500061035156,1179.8499755859375,962.7000122070312,483.79998779296875,2695.300048828125,926.2999877929688,315.4750061035156,45.15151596069336,224.63333129882812,285.7886657714844,1553.9749755859375,580.3499755859375,307.3500061035156,588.0499877929688,2282.205078125,667.20654296875,422.07501220703125,618.1500244140625,3102.35009765625,176.10000610351562,860.2999877929688,245.18182373046875,1220.3499755859375,479.04998779296875,192.64999389648438,728.2000122070312,966.2999877929688,605.4000244140625,5718.35009765625,145.125,591.14501953125,200.85000610351562,113.51252746582031,236.28643798828125,918.7662353515625,258.3999938964844,643.4500122070312,1145.5,130.5,531.4500122070312,44.5070915222168,481.3999938964844,372.70001220703125,210.6999969482422,3461.449951171875,89.8125228881836
2017-01-20,42.22984313964844,284.1499938964844,1154.699951171875,967.2000122070312,450.75,2701.050048828125,907.7000122070312,306.3999938964844,44.693939208984375,221.5833282470703,288.89801025390625,1539.1500244140625,577.5999755859375,303.70001220703125,589.47998046875,2278.9150390625,666.0492553710938,419.375,618.1749877929688,3050.60009765625,171.64999389648438,860.4500122070312,239.5,1220.25,474.3500061035156,185.64999389648438,723.0499877929688,943.1666870117188,596.0250244140625,5668.9501953125,142.0416717529297,589.97998046875,197.3000030517578,112.16252899169922,234.48062133789062,888.8535766601562,251.0500030517578,641.5499877929688,1142.675048828125,126.4000015258789,523.2000122070312,43.3018798828125,468.6499938964844,360.70001220703125,206.75,3471.64990234375,89.60626983642578
2017-01-23,42.61127471923828,286.25,1148.9000244140625,964.7000122070312,445.0,2706.5,929.6500244140625,306.3450012207031,45.88787841796875,225.68333435058594,288.0868835449219,1546.550048828125,575.75,303.3999938964844,584.72998046875,2273.695068359375,681.7882080078125,428.6499938964844,622.3250122070312,3096.800048828125,181.6999969482422,862.4000244140625,234.13636779785156,1231.25,476.3500061035156,194.14999389648438,732.75,929.0333251953125,594.4500122070312,5700.0,141.3333282470703,592.405029296875,199.89999389648438,112.6125259399414,232.2176513671875,896.6971435546875,254.14999389648438,633.6500244140625,1153.3499755859375,127.9000015258789,532.7000122070312,43.997379302978516,469.70001220703125,363.95001220703125,210.0500030517578,3527.800048828125,89.9531478881836
